"City","State","Lon","Lat","Merged"
"Reno","NV",-119.8138027,39.5296329,"Reno, NV"
"Sparks","NV",-119.7526886,39.5349112,"Sparks, NV"
"Albany","NY",-73.7562317,42.6525793,"Albany, NY"
"Sleepy Hollow","NY",-73.8584684,41.085652,"Sleepy Hollow, NY"
"Columbus","OH",-82.9987942,39.9611755,"Columbus, OH"
"Portland","OR",-122.6587185,45.5122308,"Portland, OR"
"Philadelphia","PA",-75.1652215,39.9525839,"Philadelphia, PA"
"Wilkes-Barre","PA",-75.8813075,41.2459149,"Wilkes-Barre, PA"
"Providence","RI",-71.4128343,41.8239891,"Providence, RI"
"Chattanooga","TN",-85.3096801,35.0456297,"Chattanooga, TN"
"Knoxville","TN",-83.9207392,35.9606384,"Knoxville, TN"
"Amarillo","TX",-101.8312969,35.2219971,"Amarillo, TX"
"Austin","TX",-97.7430608,30.267153,"Austin, TX"
"El Paso","TX",-106.4850217,31.7618778,"El Paso, TX"
"Salt Lake City","UT",-111.8910474,40.7607793,"Salt Lake City, UT"
"Richmond","VA",-77.4360481,37.5407246,"Richmond, VA"
"Brattleboro","VT",-72.5578678,42.8509152,"Brattleboro, VT"
"Hardwick","VT",-72.3486802,44.5416243,"Hardwick, VT"
"Seattle","WA",-122.3300624,47.6038321,"Seattle, WA"
"Appleton","WI",-88.4153847,44.2619309,"Appleton, WI"
"Milwaukee","WI",-87.9064736,43.0389025,"Milwaukee, WI"
